Adv Name,Industry,Campaign Name,Total Impressions,Total Clicks,Total Revenue,Month
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,552378,2122,11456,Sep'22
Reliance Digital,Offline Retail,OF-16834_RelianceDigital_HomeATF-Rewards,278443,337,12706,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_CPM85,39700,63,2177,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",133830,810,2046,Sep'22
Kotak 811,BFSI,OF-16513_Kotak811_HomeMastHead,17811327,18031,34920,Sep'22
PayTM First Games,Gaming,OF-16883_PaytmFirstGames_HBTF/Reward/MMBTF/CB_CPC8,2222323,598,3686,Sep'22
Spartan_Poker,Gaming,OF-16637_Spartan_Poker_HomeBTF_Rewards_CB,3193764,4683,27033,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",77122,711,1796,Sep'22
Netmeds,Health & wellness,OF-16836_Netmed_HomeATF-Rewards,414988,402,19714,Sep'22
GRT Jewels,Offline Retail,"OF-16376_GRT Jewellers_HomeATF,Reward_CPC8",276736,623,3989,Sep'22
Prime Video,OTT & Entertainment,"OF-16487_PrimeVideo_PT,CB,CBC_CPC8",199886,481,2859,Sep'22
Netmeds,Health & wellness,OF-16836_Netmed_HomeATF-Rewards,396004,1132,18812,Sep'22
KFC,FnB,OF-16428_KFC_HomeATF_CPM,92379,220,4562,Sep'22
OLXAUTO,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",117105,86,6632,Sep'22
Hotstar,OTT & Entertainment,OF-16731_Hotstar,37306,83,1645,Sep'22
Kotak 811,BFSI,OF-16513_Kotak811_HomeMastHead,13005476,14906,28868,Sep'22
GRT Jewellers,Offline Retail,"OF-16376_GRT Jewellers_HomeATF,Reward_CPC8",269996,585,3746,Sep'22
Reliance Digital,Offline Retail,OF-16834_RelianceDigital_HomeATF-Rewards,208654,645,9521,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",2992066,761,2862,Sep'22
OLX Auto,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",105095,151,5952,Sep'22
GRT Jewellers,Offline Retail,"OF-16376_GRT Jewellers_HomeATF,Reward_CPC8",273761,544,3483,Sep'22
Navi MF,BFSI,OF-16728_Navi_HomeBTF/Rewards/Mymoney,1927067,3476,61781,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_CPM85,26365,33,1446,Sep'22
OLX Auto,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",94746,142,5366,Sep'22
Flipkart,e-Commerce,OF-16809_FK_Healthcare_HomeATF_Pxtn,790167,2084,18962,Sep'22
Prime Video,OTT & Entertainment,"OF-16487_PrimeVideo_PT,CB,CBC_CPC8",81106,385,2288,Sep'22
GRT Jewellers,Offline Retail,"OF-16376_GRT Jewellers_HomeATF,Reward_CPC8",233045,492,3150,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_CPM85,25718,150,1411,Sep'22
KFC,FnB,OF-16709_KFC_HomeATF,1641626,2202,97724,Sep'22
Hotstar,OTT & Entertainment,OF-16732_Hotstar,36536,54,1785,Sep'22
FK Central,e-Commerce,"OF-16951_FKCentral_HomeATF,PT_CPM",38006,416,182,Sep'22
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,364762,1175,6343,Sep'22
Navi MF,BFSI,OF-16728_Navi_HomeBTF/Rewards/Mymoney,1582918,2335,50748,Sep'22
KFC,FnB,OF-16814_KFC_HomeATF_CPM,1704642,2189,101602,Sep'22
Reliance Digital,Offline Retail,OF-16834_RelianceDigital_HomeATF-Rewards,154222,231,7038,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_CPM85,22166,40,1216,Sep'22
KFC,FnB,OF-16790_KFC_HomeATF_CPM,959792,4700,56932,Sep'22
Isobar- IndusInd,BFSI,"OF-16509_IndusIndCC_CB,CBC_CPC2",6649551,1364,2074,Sep'22
